CodigoMateria,SiglaCasaIdentificacaoMateria,NomeCasaIdentificacaoMateria,SiglaSubtipoMateria,NumeroMateria,AnoMateria,IdentificacaoProcesso,NomedoProjeto,IndicadorTramitando,Ementa,Autor,DataApresentacao,DataDaTramitação,HoraDaTramitação,UrlTramitacao,temas,ApelidoMateria,CasaIniciadoraNoLegislativo,NumeroRepublicacaoMpv,IndicadorComplementar,DataAssinatura,AssuntoEspecificoCod,AssuntoEspecificoDesc,AssuntoGeralCod,AssuntoGeralDesc,MovimentacaoDescricaoSituacao,MovimentacaoDescricao,tema_1,tema_2,classification,probabilities
137007,SF,Senado Federal,PL,3178,2019,7758264,PL 3178/2019,Sim,"Modifica a Lei nº 12.351, de 22 de dezembro de 2010, que dispõe sobre a exploração e a produção de petróleo, de gás natural e de outros hidrocarbonetos fluidos, sob o regime de partilha de produção, em áreas do pré-sal e em áreas estratégicas, para permitir a licitação com concessão nos blocos em que esse regime for mais vantajoso para o Brasil e instituir a disputa em igualdade de condições nas licitações de partilha da produção.",Senador José Serra (PSDB/SP),2019-05-28,2025-01-14,13:52:20,https://www25.senado.leg.br/web/atividade/materias/-/materia/137007,igualdade,,SF,,Não,,,,,,AGUARDANDO INCLUSÃO ORDEM DO DIA DE REQUERIMENTO,"Aguardando inclusão em Ordem do Dia do Requerimento nº 162, de 2023, do Senador Astronauta Marcos Pontes e outros, solicitando o desarquivamento da matéria.",direitos sociais,genero,0,0.45
162625,SF,Senado Federal,REQ,18,2024,8635123,REQ 18/2024 - CE,Sim,"Requer, nos termos do art. 256, I, do Regimento Interno do Senado Federal, a retirada em definitivo da emenda 2, de minha autoria, apresentada ao PL nº 1.372/2021, que ""Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre medidas para assegurar a igualdade salarial entre os sexos e sobre a proteção à testemunha no processo judiciário do trabalho, e institui o Dia Nacional da Igualdade Salarial.""",Senador Astronauta Marcos Pontes (PL/SP),2024-03-14,2025-01-15,16:22:05,https://www25.senado.leg.br/web/atividade/materias/-/materia/162625,"igualdade, Igualdade",,SF,,Não,,,,,,,Apresentado requerimento (Retirada de emenda) na Comissão nesta data às 18:14.,economia,genero,0,0.12
