id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao,horaApresentacao,uriOrgaoNumerador,uriAutores,descricaoTipo,ementaDetalhada,keywords,uriPropPrincipal,uriPropAnterior,uriPropPosterior,urlInteiroTeor,urnFinal,texto,justificativa,dataDaTramitacao,horaDaTramitacao,sequencia,siglaOrgao,uriOrgao,uriUltimoRelator,regime,descricaoTramitacao,codTipoTramitacao,descricaoSituacao,codSituacao,despacho,url,ambito,apreciacao,urlTramitacao,nomeDoProjeto,temas,autor,cargo,tema_1,tema_2,classification,probabilities
2476600,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2476600,RIC,148,4533,2024,"Solicita informações a Excelentíssima Senhora Ministra dos Direitos Humanos e da Cidadania, Macaé Maria Evaristo Dos Santos, sobre as cenas explícitas de sexo ocorridas durante a 14ª Mostra de Cinema e Direitos Humanos em Macapá/AP.",2024-12-06,10:13,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2476600/autores,Requerimento de Informação,,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2835549,,,,2025-01-15,00:00,18,1SECM,https://dadosabertos.camara.leg.br/api/v2/orgaos/5470,https://dadosabertos.camara.leg.br/api/v2/deputados/204506,.,Providência Interna - Comunicação de resposta ostensiva,1056,Aguardando Remessa ao Arquivo,931,Encaminhamento de resposta por meio do sistema Infoleg,,Regimental,Indefinida,https://www.camara.leg.br/propostas-legislativas/2476600,RIC 4533/2024,sexo,Delegado Palumbo,Deputado(a),dignidade sexual,direitos sociais,1,0.52
2474313,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2474313,RIC,148,4427,2024,"Solicita informações a Senhora Ministra dos Direitos Humanos e da Cidadania, a respeito da exibição de um filme contendo conteúdo sexual explícito e pornográfico, aos alunos da Escola Estadual Barão do Rio Branco, situada em Macapá/AP.",2024-12-03,10:40,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2474313/autores,Requerimento de Informação,,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2831021,,,,2025-01-15,00:00,18,1SECM,https://dadosabertos.camara.leg.br/api/v2/orgaos/5470,https://dadosabertos.camara.leg.br/api/v2/deputados/204506,.,Providência Interna - Comunicação de resposta ostensiva,1056,Aguardando Remessa ao Arquivo,931,Encaminhamento de resposta por meio do sistema Infoleg,,Regimental,Indefinida,https://www.camara.leg.br/propostas-legislativas/2474313,RIC 4427/2024,sexual,Gustavo Gayer,Deputado(a),dignidade sexual,genero,1,0.61
2473281,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2473281,RIC,148,4338,2024,"Requer informações do Ministério da Educação, sobre exibição de filme de nudez e sexo em escola pública em Macapá-AP.",2024-11-29,10:27,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2473281/autores,Requerimento de Informação,,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2829309,,,,2025-01-15,00:00,19,1SECM,https://dadosabertos.camara.leg.br/api/v2/orgaos/5470,https://dadosabertos.camara.leg.br/api/v2/deputados/204506,.,Providência Interna - Comunicação de resposta ostensiva,1056,Aguardando Remessa ao Arquivo,931,Encaminhamento de resposta por meio do sistema Infoleg,,Regimental,Indefinida,https://www.camara.leg.br/propostas-legislativas/2473281,RIC 4338/2024,sexo,Silvia Waiãpi,Deputado(a),dignidade sexual,genero,1,0.57
2455165,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2455165,INC,133,1153,2024,"Sugere ao Exmo. Ministro da Justiça e Segurança Pública, Senhor Ricardo Lewandowski, uma divulgação mais efetiva sobre a conscientização da problemática que é a violência contra a mulher no Brasil, e em especial no Amazonas, além de difundir os órgãos de combate e suporte para atender essas mulheres.",2024-08-27,11:12,,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2455165/autores,Indicação,,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2469883,,,,2025-01-15,00:00,16,1SECM,https://dadosabertos.camara.leg.br/api/v2/orgaos/5470,,.,Providência Interna - Comunicação de resposta ostensiva,1056,Aguardando Remessa ao Arquivo,931,Encaminhamento de resposta por meio do sistema Infoleg,,Regimental,Indefinida,https://www.camara.leg.br/propostas-legislativas/2455165,INC 1153/2024,violência contra a mulher,Capitão Alberto Neto,Deputado(a),violencia contra a mulher,direitos sociais,0,0.18
